model_id,arch_id,ridge,rfc
CA5B:E21B:71ED:3A1C,a61c,0.41903664519085687,0.33682787326410857
F06D:D524:BFD6:232E,a61c,0.4218666381692147,0.35479999494030956
D86A:2185:C32B:7239,a61c,0.25442074576447976,0.3454846805637107
A3B3:8C1F:43AC:7718,a61c,0.3762444355105204,0.4067507931261692
B4AD:31CC:3620:B782,a61c,0.38070756679326206,0.39572269664921367
7547:B8DA:C870:507A,8c49,0.6269571016873645,0.35009128518970156
829C:AF16:5D58:E61C,8c49,0.5395877984850086,0.3217359679591853
C019:A640:74EF:D675,8c49,0.22365610483637444,0.3906448937412435
102E:5B5E:C956:FD77,8c49,0.3494157250858436,0.3312713135534862
D9F2:0A27:942A:1DA0,3c38,0.5747297901511391,0.5337587045515301
4E09:4C41:54E0:9BF9,4f90,0.41087612408575963,0.4454877504568456
372D:4517:E7D3:34E9,942a,0.402622967222439,0.37884214380268144
9ADD:83DE:9855:267E,b686,0.6553963520205341,0.5537598180961437
EFC7:5F24:4FBD:FFE3,3ec9,0.5338197821534437,0.4162475786200651
2764:1D09:2046:57FF,d6eb,0.47212334660786914,0.3518547435136034
D678:00AD:DD65:52D8,d6eb,0.40168988598136113,0.3952948447213328
6EEE:FA57:AC16:1DF1,cae4,0.44353208255080867,0.3911574404366369
85E4:7405:BC9F:634A,e7c0,0.3839021522233718,0.4038322369340116
DC38:9D16:6106:8CA2,bded,0.4756047410795559,0.34845060104186254
43AF:8985:FFF0:EB24,d6eb,0.417665026246267,0.38309899522440194
83AD:DE62:EB43:6D24,d6eb,0.41680736757935793,0.3683908421590918
