model_id,arch_id,ridge,rfc
CA5B:E21B:71ED:3A1C,a61c,0.6872702973605078,0.6769127965252255
CA5B:E21B:71ED:3A1C,a61c,0.7029736050785166,0.6812562646174407
F06D:D524:BFD6:232E,a61c,0.6896090878717006,0.6742398930838623
D86A:2185:C32B:7239,a61c,0.709742895805142,0.7320703653585927
A3B3:8C1F:43AC:7718,a61c,0.7775489186405767,0.7744593202883625
B4AD:31CC:3620:B782,a61c,0.7997237569060773,0.7983425414364641
7547:B8DA:C870:507A,8c49,0.7637821583695289,0.7203474774473773
829C:AF16:5D58:E61C,8c49,0.7313937753721245,0.7036535859269283
C019:A640:74EF:D675,8c49,0.8187435633367662,0.7621009268795057
102E:5B5E:C956:FD77,8c49,0.8466850828729282,0.8052486187845304
D9F2:0A27:942A:1DA0,3c38,0.7751419979953225,0.7333778817240227
4E09:4C41:54E0:9BF9,4f90,0.7390578015369195,0.6822586034079519
372D:4517:E7D3:34E9,942a,0.6588706982960241,0.6822586034079519
9ADD:83DE:9855:267E,b686,0.8132308720347478,0.7721349816237888
EFC7:5F24:4FBD:FFE3,3ec9,0.7738055462746408,0.7023053792181757
2764:1D09:2046:57FF,d6eb,0.6508519879719346,0.6779151353157368
D678:00AD:DD65:52D8,d6eb,0.706359945872801,0.6982408660351827
6EEE:FA57:AC16:1DF1,cae4,0.7089876378215837,0.6939525559639158
85E4:7405:BC9F:634A,e7c0,0.712662880053458,0.6775810223855663
DC38:9D16:6106:8CA2,bded,0.6946207818242566,0.6745740060140327
43AF:8985:FFF0:EB24,d6eb,0.662211827597728,0.6632141663882393
83AD:DE62:EB43:6D24,d6eb,0.6909455395923823,0.6835950551286335
