model_id,arch_id,ridge,rfc
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8', '6EEE:FA57:AC16:1DF1']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb', 'cae4']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374, 0.7197264193171508]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268, 0.7082386831913219]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8', '6EEE:FA57:AC16:1DF1', '85E4:7405:BC9F:634A']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb', 'cae4', 'e7c0']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374, 0.7197264193171508, 0.726761629899075]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268, 0.7082386831913219, 0.699628244055678]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8', '6EEE:FA57:AC16:1DF1', '85E4:7405:BC9F:634A', 'DC38:9D16:6106:8CA2']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb', 'cae4', 'e7c0', 'bded']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374, 0.7197264193171508, 0.726761629899075, 0.7045439234602855]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268, 0.7082386831913219, 0.699628244055678, 0.6932575353973882]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8', '6EEE:FA57:AC16:1DF1', '85E4:7405:BC9F:634A', 'DC38:9D16:6106:8CA2', '43AF:8985:FFF0:EB24']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb', 'cae4', 'e7c0', 'bded', 'd6eb']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374, 0.7197264193171508, 0.726761629899075, 0.7045439234602855, 0.6744026817469815]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268, 0.7082386831913219, 0.699628244055678, 0.6932575353973882, 0.6860944537101412]"
"['CA5B:E21B:71ED:3A1C', 'F06D:D524:BFD6:232E', 'D86A:2185:C32B:7239', 'A3B3:8C1F:43AC:7718', 'B4AD:31CC:3620:B782', '7547:B8DA:C870:507A', '829C:AF16:5D58:E61C', 'C019:A640:74EF:D675', '102E:5B5E:C956:FD77', 'D9F2:0A27:942A:1DA0', '4E09:4C41:54E0:9BF9', '372D:4517:E7D3:34E9', '9ADD:83DE:9855:267E', 'EFC7:5F24:4FBD:FFE3', '2764:1D09:2046:57FF', 'D678:00AD:DD65:52D8', '6EEE:FA57:AC16:1DF1', '85E4:7405:BC9F:634A', 'DC38:9D16:6106:8CA2', '43AF:8985:FFF0:EB24', '83AD:DE62:EB43:6D24']","['a61c', 'a61c', 'a61c', 'a61c', 'a61c', '8c49', '8c49', '8c49', '8c49', '3c38', '4f90', '942a', 'b686', '3ec9', 'd6eb', 'd6eb', 'cae4', 'e7c0', 'bded', 'd6eb', 'd6eb']","[0.7110192665170125, 0.6924617376851616, 0.7151620942721458, 0.7818745755406545, 0.8038524219339577, 0.7721093012734546, 0.7372345657700935, 0.8250438521854134, 0.8532663691555562, 0.7820003417241164, 0.7471833262248201, 0.675720026538032, 0.8181872806020298, 0.7801130425083614, 0.666908774165265, 0.7118880153419374, 0.7197264193171508, 0.726761629899075, 0.7045439234602855, 0.6744026817469815, 0.699548584845834]","[0.7021284830790638, 0.6922920265274463, 0.7505840089329829, 0.7794797915638836, 0.7988320371501936, 0.737537609238104, 0.7209309998856032, 0.7788847949448384, 0.8097567815913994, 0.7465514413196874, 0.6990614956662523, 0.698192108451993, 0.7840715885704493, 0.7198580837685993, 0.6986017903573506, 0.7238782991602268, 0.7082386831913219, 0.699628244055678, 0.6932575353973882, 0.6860944537101412, 0.7046447556568015]"
