model_id,arch_id,ridge,rfc
CA5B:E21B:71ED:3A1C,a61c,0.31540260608085535,0.35683260942198464
F06D:D524:BFD6:232E,a61c,0.29869695957233544,0.36719011025726694
D86A:2185:C32B:7239,a61c,0.2943166441136671,0.3308525033829499
A3B3:8C1F:43AC:7718,a61c,0.22760041194644695,0.38105046343975285
B4AD:31CC:3620:B782,a61c,0.2803867403314917,0.36187845303867405
7547:B8DA:C870:507A,8c49,0.3651854326762446,0.34647510858670233
829C:AF16:5D58:E61C,8c49,0.22259810554803788,0.35588633288227334
C019:A640:74EF:D675,8c49,0.19052523171987643,0.36560247167868176
102E:5B5E:C956:FD77,8c49,0.21408839779005526,0.3494475138121547
D9F2:0A27:942A:1DA0,3c38,0.3478115603073839,0.5466087537587705
4E09:4C41:54E0:9BF9,4f90,0.2866688940862011,0.43802205145339124
372D:4517:E7D3:34E9,942a,0.31339792849983295,0.3711994654193117
9ADD:83DE:9855:267E,b686,0.4009355162044771,0.5489475442699633
EFC7:5F24:4FBD:FFE3,3ec9,0.3451386568660207,0.40461075843635147
2764:1D09:2046:57FF,d6eb,0.3023722018042098,0.363848980955563
D678:00AD:DD65:52D8,d6eb,0.33694181326116374,0.38294993234100133
6EEE:FA57:AC16:1DF1,cae4,0.308386234547277,0.39458737053123955
85E4:7405:BC9F:634A,e7c0,0.28733711994654193,0.39224858002004676
DC38:9D16:6106:8CA2,bded,0.38389575676578686,0.36451720681590377
43AF:8985:FFF0:EB24,d6eb,0.29702639492148347,0.38088874039425324
83AD:DE62:EB43:6D24,d6eb,0.3037086535248914,0.3718676912796525
CA5B:E21B:71ED:3A1C,a61c,0.31239558970932174,0.37621115937186766
F06D:D524:BFD6:232E,a61c,0.2602739726027397,0.3585031740728366
D86A:2185:C32B:7239,a61c,0.28349120433017594,0.3565629228687415
A3B3:8C1F:43AC:7718,a61c,0.2533470648815654,0.38928939237899074
B4AD:31CC:3620:B782,a61c,0.281767955801105,0.34806629834254144
7547:B8DA:C870:507A,8c49,0.2636151019044437,0.33745405947210155
829C:AF16:5D58:E61C,8c49,0.2050067658998647,0.35859269282814615
C019:A640:74EF:D675,8c49,0.20803295571575695,0.35118434603501547
102E:5B5E:C956:FD77,8c49,0.22790055248618785,0.287292817679558
D9F2:0A27:942A:1DA0,3c38,0.4567323755429335,0.5322418977614434
4E09:4C41:54E0:9BF9,4f90,0.38222519211493483,0.4340126962913465
372D:4517:E7D3:34E9,942a,0.3995990644837955,0.38757099899766123
9ADD:83DE:9855:267E,b686,0.41964584029401936,0.5542933511526896
EFC7:5F24:4FBD:FFE3,3ec9,0.32475776812562646,0.4340126962913465
2764:1D09:2046:57FF,d6eb,0.38289341797527565,0.3675242231874373
D9F2:0A27:942A:1DA0,3c38,0.3929168058803876,0.513531573671901
D9F2:0A27:942A:1DA0,3c38,0.2886740331491713,0.5234806629834254
4E09:4C41:54E0:9BF9,4f90,0.4102209944751381,0.425414364640884
D9F2:0A27:942A:1DA0,3c38,0.287292817679558,0.48756906077348067
D9F2:0A27:942A:1DA0,3c38,0.37785588752196836,0.4833040421792619
D9F2:0A27:942A:1DA0,3c38,0.29056603773584905,0.4981132075471698
D9F2:0A27:942A:1DA0,3c38,0.8603773584905661,0.7735849056603774
D9F2:0A27:942A:1DA0,3c38,0.8716981132075472,0.7811320754716982
D9F2:0A27:942A:1DA0,3c38,0.437609841827768,0.5254833040421792
D9F2:0A27:942A:1DA0,3c38,0.32320441988950277,0.5593922651933702
D9F2:0A27:942A:1DA0,3c38,0.3052486187845304,0.5552486187845304
D9F2:0A27:942A:1DA0,3c38,0.3494475138121547,0.48342541436464087
