model_id,arch_id,ridge,rfc
CC45:CCC9:6F62:BAD2,068f,0.212707182320442,0.39917127071823205
2CB3:B8BF:D0BF:15B2,068f,0.2154696132596685,0.39088397790055246
150B:64C8:A060:5337,068f,0.2513812154696133,0.393646408839779
7779:7048:5DDE:AA75,2ec2,0.2541436464088398,0.35773480662983426
90FD:2357:F7FB:A160,2ec2,0.2058011049723757,0.3743093922651934
70CB:3E0E:7425:D0F2,2ec2,0.2776243093922652,0.3632596685082873
964D:8D1B:0377:CD4A,11e0,0.24171270718232044,0.3715469613259669
230E:E994:F0C8:429F,11e0,0.30248618784530384,0.34806629834254144
388A:A653:03D7:AD59,11e0,0.3301104972375691,0.3687845303867403
F356:0286:0BDB:DE98,3f20,0.20994475138121546,0.3715469613259669
5C6E:E552:64CA:1491,3f20,0.26519337016574585,0.3632596685082873
F3CB:F27E:7494:1DD7,3f20,0.2472375690607735,0.3798342541436464
79A6:D2E1:6302:01A1,38eb,0.21823204419889503,0.39640883977900554
8636:1A5C:CCDF:ED29,38eb,0.20027624309392264,0.40607734806629836
8344:9D83:373D:B614,38eb,0.26933701657458564,0.4143646408839779
7ECD:7D12:CCDF:ACB6,4fb9,0.21685082872928177,0.3701657458563536
46ED:338D:4446:2A5E,4fb9,0.27071823204419887,0.3798342541436464
1E10:500B:C754:007E,4fb9,0.26243093922651933,0.40607734806629836
281E:CE10:A719:C03F,075b,0.3370165745856354,0.3425414364640884
A633:CD85:C46A:3C27,075b,0.2085635359116022,0.3383977900552486
7F5A:642D:9C7A:B4F1,075b,0.2058011049723757,0.3660220994475138
5D48:C704:EF61:C069,cc9f,0.34668508287292815,0.3356353591160221
E16E:BA3B:ECE2:79A2,cc9f,0.31077348066298344,0.3397790055248619
F72D:DA3C:E5A8:31C0,cc9f,0.2058011049723757,0.32320441988950277
19B7:F15F:860B:D494,9df3,0.2776243093922652,0.35773480662983426
A807:55B7:1F8A:9ABC,9df3,0.212707182320442,0.2941988950276243
5EA7:EBF0:B696:F261,9df3,0.2058011049723757,0.31629834254143646
6A75:AE36:26AA:9284,5b05,0.19060773480662985,0.24033149171270718
4B9D:49EE:6524:3B67,5b05,0.1685082872928177,0.23342541436464087
6AF6:39A3:67DB:4278,5b05,0.21408839779005526,0.27071823204419887
